CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	LIBRARY	SAMPLE_NAME
FIRST_OF_PAIR	1547	1547	1	0	1546	0.999354	41765	1415	38772	38375	0	0.0020830000000000002	0.002167	1.68e-4	43.159664	1546	1	0	0	0	0.333765	0.008481	0	NA	19-330-03007-GER2107007
SECOND_OF_PAIR	1547	1547	1	0	1547	1	41864	1417	38883	38562	0	0.002126	0.00216	2.15e-4	43.2883	1546	0.999354	1	6.46e-4	0	0.665805	0.009181	0	NA	19-330-03007-GER2107007
PAIR	3094	3094	1	0	3093	0.999677	83629	2832	77655	76937	0	0.002105	0.002163	1.91e-4	43.223982	3092	0.999677	1	3.23e-4	0	0.499838	0.008831	0	NA	19-330-03007-GER2107007
FIRST_OF_PAIR	818	818	1	0	818	1	21246	742	19509	19359	0	0.002777	0.00287	4.7e-5	43.393643	818	1	0	0	0	0.303178	0.025606	0	NA	22-024-02646-GER2213114
SECOND_OF_PAIR	819	819	1	0	819	1	21290	743	19548	19428	0	0.002677	0.002711	4.7e-5	43.518926	819	1	1	0.001221	0	0.697192	0.026918	0	NA	22-024-02646-GER2213114
PAIR	1637	1637	1	0	1637	1	42536	1485	39057	38787	0	0.002727	0.002791	4.7e-5	43.456323	1637	1	1	6.11e-4	0	0.500305	0.026263	0	NA	22-024-02646-GER2213114
FIRST_OF_PAIR	1847	1847	1	0	1846	0.999459	47915	1687	44193	43779	0	0.002504	0.002512	8.3e-5	41.722252	1846	1	2	0.001083	0	0.307692	0.011269	0	NA	20-346-03473-GER2107078
SECOND_OF_PAIR	1849	1849	1	0	1849	1	48114	1693	44452	44149	0	0.002515	0.002542	1.25e-4	41.936723	1848	0.999459	5	0.002704	0	0.690644	0.011848	0	NA	20-346-03473-GER2107078
PAIR	3696	3696	1	0	3695	0.999729	96029	3380	88645	87928	0	0.00251	0.002527	1.04e-4	41.829545	3694	0.999729	7	0.001894	0	0.499323	0.011559	0	NA	20-346-03473-GER2107078
FIRST_OF_PAIR	1247	1247	1	0	1247	1	31973	1151	29689	29492	0	0.002408	0.002425	1.56e-4	42.368885	1247	1	0	0	0	0.332799	0.006963	0	NA	18-323-04175-GER2213046
SECOND_OF_PAIR	1247	1247	1	0	1247	1	31990	1150	29670	29516	0	0.002376	0.002359	1.56e-4	42.406576	1247	1	0	0	0	0.667201	0.006963	0	NA	18-323-04175-GER2213046
PAIR	2494	2494	1	0	2494	1	63963	2301	59359	59008	0	0.002392	0.002392	1.56e-4	42.387731	2494	1	0	0	0	0.5	0.006963	0	NA	18-323-04175-GER2213046
FIRST_OF_PAIR	3381	3381	1	0	3380	0.999704	86119	2719	69900	69435	0	0.001173	0.001259	8.1e-5	42.806566	3380	1	0	0	0	0.138462	0.005529	0	NA	20-211-03939-GER2107109
SECOND_OF_PAIR	3389	3389	1	0	3389	1	86442	2723	70075	69659	0	0.001307	0.001441	9.3e-5	42.890823	3388	0.999705	9	0.002656	0	0.861021	0.00699	0	NA	20-211-03939-GER2107109
PAIR	6770	6770	1	0	6769	0.999852	172561	5442	139975	139094	0	0.00124	0.00135	8.7e-5	42.848744	6768	0.999852	9	0.00133	0	0.50022199999999994	0.00626	0	NA	20-211-03939-GER2107109
FIRST_OF_PAIR	1579	1579	1	0	1579	1	73084	1470	70551	69770	0	0.002846	0.002906	0.001231	58.074098	1579	1	0	0	0	0.364155	0.004765	0	NA	19-211-01298-GER2106850
SECOND_OF_PAIR	1580	1580	1	0	1580	1	75618	1469	73030	72331	0	0.003306	0.003368	0.001547	59.739873	1580	1	1	6.33e-4	0	0.635443	0.004084	0	NA	19-211-01298-GER2106850
PAIR	3159	3159	1	0	3159	1	148702	2939	143581	142101	0	0.00308	0.003141	0.001392	58.907249	3159	1	1	3.17e-4	0	0.499842	0.004425	0	NA	19-211-01298-GER2106850
FIRST_OF_PAIR	2718	2718	1	0	2716	0.999264	70086	2494	64866	64412	0	0.002426	0.002436	1e-4	41.822296	2716	1	2	7.36e-4	0	0.299337	0.01124	0	NA	20-210-02166-GER2110235
SECOND_OF_PAIR	2719	2719	1	0	2719	1	70240	2497	65003	64683	0	0.002335	0.002323	1e-4	41.836337	2717	0.999264	5	0.001839	0	0.699522	0.011628	0	NA	20-210-02166-GER2110235
PAIR	5437	5437	1	0	5435	0.999632	140326	4991	129869	129095	0	0.00238	0.002379	1e-4	41.829318	5433	0.999632	7	0.001288	0	0.49954	0.011434	0	NA	20-210-02166-GER2110235
FIRST_OF_PAIR	1604	1604	1	0	1604	1	41588	1461	38187	37946	0	0.002669	0.002671	9.6e-5	42.84601	1604	1	0	0	0	0.303616	0.013032	0	NA	21-019-03709-GER2213081
SECOND_OF_PAIR	1606	1606	1	0	1606	1	41680	1461	38234	38045	0	0.002735	0.00272	9.6e-5	42.920922	1606	1	2	0.001245	0	0.696139	0.014384	0	NA	21-019-03709-GER2213081
PAIR	3210	3210	1	0	3210	1	83268	2922	76421	75991	0	0.002702	0.002696	9.6e-5	42.883489	3210	1	2	6.23e-4	0	0.5	0.013708	0	NA	21-019-03709-GER2213081
FIRST_OF_PAIR	14556	14556	1	0	14556	1	1231024	14439	1228030	1218328	0	0.005862	0.005846	0.00153	86.512503	14554	0.999863	37	0.002542	0	0.409934	0.013372	0	NA	20-107-01395-GER2106910
SECOND_OF_PAIR	14655	14655	1	0	14653	0.999864	1307734	14534	1304583	1293361	0	0.006209	0.006187	0.001849	91.590174	14653	1	134	0.009145	0	0.589231	0.018553	0	NA	20-107-01395-GER2106910
PAIR	29211	29211	1	0	29209	0.999932	2538758	28973	2532613	2511689	0	0.006041	0.006022	0.001695	89.059943	29207	0.999932	171	0.005854	0	0.49988	0.015968	0	NA	20-107-01395-GER2106910
FIRST_OF_PAIR	27029	27029	1	0	27024	0.999815	2091787	26632	2081081	2072246	0	0.004805	0.004738	8.78e-4	79.705095	27023	0.999963	6	2.22e-4	0	0.412189	0.001202	0	NA	20-358-02456-GER2110230
