BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
Invitae_HPV_primers	1063	1	91242	5480	2337	0.976408	0.023592	0.943343	85.834431	0.68226	0.395371	2682447.352831	NA	0	0	0	0	0	0	1063	3095733841	3094	3094	133735	3094	3093	99059	99059	52875	1	1	0.999677	49.687676	10	447	0	0.076923	0	0	0	0	0.42193	0.044357	24.843838	0.91063	0.865475	0.5381	0.383819	0.370649	0.299153	0.195673	0.169332	33.976156	8.595125	0.826728	8	NA	NA	NA	19-330-03007-GER2107007
Invitae_HPV_primers	1063	1	54140	1115	3117	0.946601	0.053399	0.979821	50.931326	0.761056	0.481051	2701120.928025	NA	0	0	0	0	0	0	1063	3095733841	1637	1637	71138	1637	1637	58372	58372	34221	1	1	1	32.161806	5	254	0	0.128205	0	0	0	0	0.363959	0.049801	32.161806	0.868297	0.787394	0.442145	0.303857	0.280339	0.193791	0.167451	0.136406	34.505178	10.386897	0.756922	6	NA	NA	NA	22-024-02646-GER2213114
Invitae_HPV_primers	1063	1	114959	2842	4836	0.960567	0.039433	0.975875	108.145814	0.74358	0.452103	2729931.874891	NA	0	0	0	0	0	0	1063	3095733841	3696	3696	154602	3696	3695	122637	122637	69896	1	1	0.999729	65.698965	17	480	0	0.051282	0	0	0	0	0.390298	0.039792	21.899655	0.93603	0.883349	0.588899	0.429915	0.348071	0.293509	0.25588	0.193791	37.236391	9.327677	0.853745	8	NA	NA	NA	20-346-03473-GER2107078
Invitae_HPV_primers	1063	1	77485	1651	2932	0.964274	0.035726	0.979137	72.892756	0.732961	0.445585	2749629.24156	NA	0	0	0	0	0	0	1063	3095733841	2494	2494	105715	2494	2494	82068	82068	47105	1	1	1	44.291627	11	378	0	0.102564	0	0	0	0	0.389628	0.036445	44.291627	0.841957	0.764817	0.520226	0.406397	0.271872	0.222013	0.215428	0.137347	36.521612	9.238127	0.751574	6	NA	NA	NA	18-323-04175-GER2213046
Invitae_HPV_primers	1063	1	185784	2538	4582	0.976247	0.023753	0.986523	174.773283	0.640445	0.353364	2804771.115082	NA	0	0	0	0	0	0	1063	3095733841	6770	6770	290086	6770	6769	192904	192904	102506	1	1	0.999852	96.366886	15	1974	0	0.076923	0	0	0	0	0.446538	0.02212	48.183443	0.886171	0.805268	0.587959	0.406397	0.309501	0.241769	0.240828	0.180621	42.038908	11.161316	0.806453	7	NA	NA	NA	20-211-03939-GER2107109
Invitae_HPV_primers	1063	1	107032	60806	6506	0.962683	0.037317	0.63771	100.688617	0.575169	0.353575	1787874.314149	NA	0	0	0	0	0	0	1063	3095733841	3159	3159	186088	3159	3159	174344	174344	65796	1	1	1	61.829727	34	408	0	0.051282	0	0	0	0	0.403123	0.219778	20.609909	0.936971	0.852305	0.70461	0.611477	0.548448	0.457197	0.337723	0.183443	29.69959	7.635639	0.859455	9	NA	NA	NA	19-211-01298-GER2106850
Invitae_HPV_primers	1063	1	163688	3757	6900	0.960423	0.039577	0.977563	153.98683	0.719742	0.42988	2734246.693939	NA	0	0	0	0	0	0	1063	3095733841	5437	5437	227426	5437	5435	174345	174345	97766	1	1	0.999632	91.890875	25	735	0	0.025641	0	0	0	0	0.401658	0.037627	22.972719	0.967074	0.926623	0.682973	0.547507	0.430856	0.376294	0.349012	0.21825	36.674169	8.156834	0.891061	10	NA	NA	NA	20-210-02166-GER2110235
Invitae_HPV_primers	1063	1	101258	2465	3543	0.96697	0.03303	0.976235	95.25682	0.735587	0.447463	2749144.763953	NA	0	0	0	0	0	0	1063	3095733841	3210	3210	137656	3210	3210	107266	107266	61596	1	1	1	57.901223	11	505	0	0.076923	0	0	0	0	0.387709	0.038092	28.950611	0.88429	0.817498	0.558796	0.405456	0.372531	0.285042	0.222013	0.162747	35.669975	9.639412	0.801022	7	NA	NA	NA	21-019-03709-GER2213081
Invitae_HPV_primers	1063	1	1051696	1516961	4374	0.9983	0.0017	0.409434	989.365945	0.404261	0.222595	1190352.40478	NA	0	0	0	0	0	0	1063	3095733841	29211	29211	2601530	29211	29209	2573031	2573031	579087	1	1	0.999932	544.03857	118	2401	0	0.025641	0	0	0	0	0.445977	0.329294	90.673095	0.959548	0.914393	0.751646	0.699906	0.558796	0.558796	0.524929	0.520226	24.290479	5.992857	0.909898	10	NA	NA	NA	20-107-01395-GER2106910
Invitae_HPV_primers	1063	1	711963	890454	2736168	0.369341	0.630659	0.444306	669.767639	0.160717	0.085322	477902.898044	NA	0	0	0	0	0	0	1063	3095733841	54355	54355	4429904	54355	54349	4338585	4338585	377970	1	1	0.99989	355.313264	45	4474	0	0	0	0	0	0	0.469512	0.443587	29.609439	0.993415	0.950141	0.843838	0.681091	0.571025	0.504233	0.473189	0.330198	48.295252	19.417564	0.953605	13	NA	NA	NA	20-358-02456-GER2110230
Invitae_HPV_primers	1063	1	84402	2240	5868	0.936569	0.063431	0.974146	79.399812	0.797238	0.511486	2657017.452417	NA	0	0	0	0	0	0	1063	3095733841	2519	2519	105868	2519	2519	92510	92510	54150	1	1	1	50.902164	10	341	0	0.051282	0	0	0	0	0.356156	0.058534	25.451082	0.926623	0.844779	0.532455	0.383819	0.350894	0.306679	0.252117	0.162747	34.407893	9.096612	0.829487	8	NA	NA	NA	19-340-01676-GER2110353
Invitae_HPV_primers	1063	1	9790425	17685561	17737	0.999355	6.45e-4	0.356327	9210.183443	0.354748	0.203868	1037046.767605	NA	0	0	0	0	0	0	1063	3095733841	279872	279872	27598285	279872	279833	27493723	27493723	5626403	1	1	0.999861	5290.793979	496	20967	0	0.025641	0	0	0	0	0.421164	0.374242	480.981271	0.963311	0.942615	0.824083	0.737535	0.715898	0.684854	0.683913	0.634995	27.304304	6.012766	0.94081	12	NA	NA	NA	18-289-01058-GER2106729
Invitae_HPV_primers	1063	1	2065514	2832436	6354	0.998704	0.001296	0.42171	1943.098777	0.414147	0.227219	1226538.289736	NA	0	0	0	0	0	0	1063	3095733841	57942	57942	4987389	57942	57932	4904304	4904304	1133230	1	1	0.999827	1065.66604	475	3885	0	0.025641	0	0	0	0	0.447652	0.321626	106.566604	0.970837	0.914393	0.816557	0.749765	0.688617	0.634055	0.632173	0.552211	24.68447	5.961463	0.928575	11	NA	NA	NA	18-330-01741-GER2106698
Invitae_HPV_primers	1063	1	97358	21176	5445	0.956081	0.043919	0.821351	91.587959	0.650141	0.393559	2286935.230079	NA	0	0	0	0	0	0	1063	3095733841	3067	3067	149749	3067	3067	123979	123979	58935	1	1	1	55.393227	22	349	0	0.076923	0	0	0	0	0.399874	0.124787	13.848307	0.904986	0.874882	0.696143	0.549389	0.324553	0.274694	0.254939	0.190028	34.104586	8.199151	0.852221	8	NA	NA	NA	21-110-01022-GER2110430
Invitae_HPV_primers	1063	1	25718800	39256482	46124	0.999291	7.09e-4	0.395824	24194.543744	0.394357	0.21904	1151926.303104	NA	0	0	0	0	0	0	1063	3095733841	679631	679631	65217074	679631	679546	65021406	65021406	14285153	1	1	0.999875	13428.648166	473	56978	0	0.025641	0	0	0	0	0.442173	0.338253	1119.054014	0.972719	0.94826	0.816557	0.720602	0.669802	0.64064	0.608655	0.583255	27.433412	6.017719	0.936816	12	NA	NA	NA	20-196-03010-GER2107005
Invitae_HPV_primers	1063	1	247760	97252	4960	0.985827	0.014173	0.71812	233.076199	0.594497	0.338193	2061713.160265	NA	0	0	0	0	0	0	1063	3095733841	7929	7929	416756	7929	7928	349972	349972	140944	1	1	0.999874	132.451552	68	966	0	0	0	0	0	0	0.438378	0.159016	14.716839	0.98777	0.962371	0.767639	0.655691	0.620884	0.550329	0.540922	0.387582	30.311417	7.360014	0.940395	12	NA	NA	NA	19-350-01205-GER2110213
