BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME	FRAGMENT_LENGTH
Invitae_HPV_primers	1063	1	15956	5480	2337	0.901695	0.098305	0.744355	15.010348	0.544016	0.304125	1954656.227238	NA	0	0	0	0	0	0	1063	3095733841	621	621	29330	621	621	23773	23773	8920	1	1	1	8.381938	3	86	0	0.282051	0	0	0	0	0.440205	0.184832	?	0.716839	0.612418	0.178739	0.151458	0.067733	0.045155	0.045155	0	35.725268	9.1333	0.578349	4	NA	NA	NA	19-330-03007-GER2107007	0
Invitae_HPV_primers	1063	1	2889	4018	74	0.9894	0.0106	0.418271	2.71778	0.408339	0.202968	1205203.138616	NA	0	0	0	0	0	0	1063	3095733841	88	88	7075	88	88	6981	6981	1436	1	1	1	1.350894	0	6	0	0.564103	0	0	0	0	0.501791	0.293081	?	0.445908	0.326435	0	0	0	0	0	0	27.110296	8.796516	0.292237	2	NA	NA	NA	19-330-03007-GER2107007	37
Invitae_HPV_primers	1063	1	2889	4018	0	1	0	0.418271	2.71778	0.412773	0.205172	1218115.406208	NA	0	0	0	0	0	0	1063	3095733841	86	86	6999	86	86	6907	6907	1436	1	1	1	1.350894	0	6	0	0.564103	0	0	0	0	0.501665	0.290864	?	0.445908	0.326435	0	0	0	0	0	0	27.110296	8.796516	0.292237	2	NA	NA	NA	19-330-03007-GER2107007	38
Invitae_HPV_primers	1063	1	2757	3994	0	1	0	0.408384	2.593603	0.402893	0.200205	1189320.783477	NA	0	0	0	0	0	0	1063	3095733841	82	82	6843	82	82	6751	6751	1370	1	1	1	1.288805	0	6	0	0.589744	0	0	0	0	0.501703	0.295808	?	0.411101	0.325494	0	0	0	0	0	0	29.576189	8.622065	0.274363	1	NA	NA	NA	19-330-03007-GER2107007	40
Invitae_HPV_primers	1063	1	2279	3774	0	1	0	0.376508	2.143932	0.376383	0.186788	1096488.298742	NA	0	0	0	0	0	0	1063	3095733841	66	66	6055	66	66	6053	6053	1131	1	1	1	1.06397	0	6	0	0.589744	0	0	0	0	0.501569	0.311746	?	0.411101	0.279398	0	0	0	0	0	0	29.067176	8.880993	0.248577	1	NA	NA	NA	19-330-03007-GER2107007	50
Invitae_HPV_primers	1063	1	2083	3630	0	1	0	0.364607	1.959548	0.364479	0.180752	1061830.98948	NA	0	0	0	0	0	0	1063	3095733841	60	60	5715	60	60	5713	5713	1033	1	1	1	0.971778	0	6	0	0.589744	0	0	0	0	0.501663	0.317696	?	0.411101	0.250235	0	0	0	0	0	0	29.513359	9.268459	0.237922	1	NA	NA	NA	19-330-03007-GER2107007	60
Invitae_HPV_primers	1063	1	1899	3568	0	1	0	0.347357	1.786453	0.347357	0.172124	1011593.991222	NA	0	0	0	0	0	0	1063	3095733841	56	56	5467	56	56	5467	5467	941	1	1	1	0.88523	0	5	0	0.589744	0	0	0	0	0.501555	0.326322	?	0.383819	0.24365	0	0	0	0	0	0	28.478041	8.166889	0.222435	1	NA	NA	NA	19-330-03007-GER2107007	65
Invitae_HPV_primers	1063	1	1803	3394	0	1	0	0.346931	1.696143	0.346931	0.17183	1010353.522814	NA	0	0	0	0	0	0	1063	3095733841	52	52	5197	52	52	5197	5197	893	1	1	1	0.840075	0	5	0	0.589744	0	0	0	0	0.501636	0.326535	?	0.376294	0.206021	0	0	0	0	0	0	28.92277	11.259203	0.209629	1	NA	NA	NA	19-330-03007-GER2107007	70
Invitae_HPV_primers	1063	1	1733	3168	0	1	0	0.353601	1.630292	0.353601	0.175066	1029779.424986	NA	0	0	0	0	0	0	1063	3095733841	48	48	4901	48	48	4901	4901	858	1	1	1	0.80715	0	4	0	0.589744	0	0	0	0	0.501734	0.323199	?	0.376294	0.206021	0	0	0	0	0	0	28.138794	10.552884	0.204998	1	NA	NA	NA	19-330-03007-GER2107007	75
Invitae_HPV_primers	1063	1	1651	2946	0	1	0	0.359147	1.553151	0.359147	0.177725	1045930.722026	NA	0	0	0	0	0	0	1063	3095733841	44	44	4597	44	44	4597	4597	817	1	1	1	0.768579	0	4	0	0.641026	0	0	0	0	0.501849	0.320426	?	0.337723	0.206021	0	0	0	0	0	0	27.945781	12.417686	0.187224	1	NA	NA	NA	19-330-03007-GER2107007	80
