MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME
25	25	1	19	132	25.042263	2.483421	1546	FR	1	1	1	3	3	3	5	9	13	23	149	NA	19-330-03007-GER2107007
25	25	1	19	60	25.314249	2.632811	818	FR	1	1	1	3	3	3	5	9	13	19	49	NA	22-024-02646-GER2213114
25	25	1	19	145	25.278808	2.56608	1844	FR	1	1	1	3	3	3	5	7	13	17	49	NA	20-346-03473-GER2107078
25	25	1	19	60	25.365933	2.407963	1247	FR	1	1	1	1	3	3	5	7	11	13	25	NA	18-323-04175-GER2213046
25	25	0	19	136	24.638589	1.08533	3380	FR	1	1	1	1	1	1	1	3	7	11	27	NA	20-211-03939-GER2107109
26	25	3	19	5506	27.444541	6.846515	1579	FR	1	3	3	3	7	13	47	103	163	245	439	NA	19-211-01298-GER2106850
25	25	1	19	156	25.235294	2.57552	2714	FR	1	1	1	3	3	3	5	7	11	17	49	NA	20-210-02166-GER2110235
25	25	1	19	61	25.387242	2.554155	1604	FR	1	1	1	3	3	3	5	7	13	17	47	NA	21-019-03709-GER2213081
88	25	33	19	5651	95.675379	54.371861	14519	FR	13	27	39	55	67	81	97	121	143	241	393	NA	20-107-01395-GER2106910
78	25	33	19	534	82.960604	46.730835	27018	FR	17	31	45	57	67	79	93	107	125	159	329	NA	20-358-02456-GER2110230
25	25	1	19	126	25.461157	2.813573	1258	FR	1	1	1	3	3	3	5	9	13	19	49	NA	19-340-01676-GER2110353
103	25	38	19	4427	113.5582	64.903308	138121	FR	15	29	43	59	77	93	111	129	171	289	491	NA	18-289-01058-GER2106729
84	25	32	19	670	90.62995	53.534046	28614	FR	13	25	39	53	65	81	97	119	135	223	409	NA	18-330-01741-GER2106698
25	25	1	19	239	25.211257	2.84612	1532	FR	1	1	1	3	3	5	9	13	49	133	259	NA	21-110-01022-GER2110430
97	54	35	19	6921	105.973813	55.606539	336257	FR	13	29	41	55	71	85	101	115	143	239	425	NA	20-196-03010-GER2107005
26	25	2	19	307	25.985759	3.943747	3955	FR	1	3	3	3	5	7	11	43	139	195	285	NA	19-350-01205-GER2110213
25	25	1	19	239	25.19174	2.651484	1517	FR	1	1	1	3	3	5	5	11	25	77	229	NA	20-170-03172-GER2110286
25	25	0	19	224	24.551172	1.206874	3221	FR	1	1	1	1	1	1	3	5	11	17	135	NA	21-146-02920-GER2106743
25	25	1	19	289	25.243261	2.564689	1709	FR	1	1	1	3	3	3	5	11	25	101	255	NA	21-078-03914-GER2106966
25	25	1	19	223	25.447684	2.443085	3234	FR	1	1	1	3	3	3	5	7	13	19	129	NA	19-247-03898-GER2107045
25	25	1	19	216	25.59122	2.738563	1090	FR	1	1	1	3	3	3	5	9	15	25	53	NA	20-216-03234-GER2107113
