MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME	TARGET_REGION
28	28	1	23	30	26.627907	2.246937	43	FR	1	1	1	3	3	5	7	9	11	11	11	NA	18-225-01427-GER2110524	J04353.1:107-557
33	33	2	21	36	29.642857	5.300321	14	FR	1	1	1	1	5	7	19	21	21	25	25	NA	18-225-01427-GER2110524	J04353.1:5551-7066
25	25	0	22	28	24.608696	0.838783	27	FR	1	1	1	1	1	1	3	3	5	7	7	NA	18-225-01427-GER2110524	J04353.1:559-856
32	31	1	26	37	31.904762	2.300104	21	FR	1	3	3	3	3	3	3	5	9	11	13	NA	18-225-01427-GER2110524	M12732.1:108-558
26	21	5	21	33	26.028571	4.448964	35	FR	1	1	5	7	11	11	11	13	13	15	15	NA	18-225-01427-GER2110524	M12732.1:5593-7093
25	25	0	21	25	24.25	1.488048	8	FR	1	1	1	1	1	1	1	5	9	9	9	NA	18-225-01427-GER2110524	M12732.1:572-866
24	24	1	19	35	23.854991	2.58071	532	FR	1	1	1	3	3	3	7	9	11	11	13	NA	18-225-01427-GER2110524	NC001357.1:104-581
21	21	0.5	20	37	21.076923	0.493548	20	FR	1	1	1	1	1	3	25	25	33	33	33	NA	18-225-01427-GER2110524	NC001357.1:5429-7136
25	25	1	19	38	25.402761	1.668422	1669	FR	1	1	1	1	3	3	3	3	5	9	15	NA	18-225-01427-GER2110524	NC001357.1:589-907
25	25	0	20	35	24.732759	0.700937	1297	FR	1	1	1	1	1	1	3	3	5	13	13	NA	18-225-01427-GER2110524	NC001357.1:913-2887
55	34	19.5	30	130	62.538462	34.23125	26	FR	3	13	35	37	37	43	51	69	133	141	151	NA	18-225-01427-GER2110524	NC001526.4:1-1950
20	19	1	19	188	20.802326	2.67026	227	FR	1	3	3	3	3	5	15	99	187	243	317	NA	18-225-01427-GER2110524	NC001526.4:1891-2989
25	25	0	20	156	24.651786	1.128739	188	FR	1	1	1	1	1	3	5	9	89	149	243	NA	18-225-01427-GER2110524	NC001526.4:2985-3237
