MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME	FRAGMENT_LENGTH
26	26	2	19	132	26.591241	3.813519	310	FR	1	1	3	5	5	7	11	13	63	147	177	NA	19-330-03007-GER2107007	0
78.5	109	30.5	37	132	79.590909	29.114304	44	FR	9	25	39	45	61	63	67	75	79	83	109	NA	19-330-03007-GER2107007	37
80	109	29	39	132	80.581395	28.698957	43	FR	11	23	37	47	59	61	65	77	81	83	105	NA	19-330-03007-GER2107007	38
80	109	26	40	132	82.609756	27.823442	41	FR	11	23	37	47	53	59	65	69	79	81	105	NA	19-330-03007-GER2107007	40
97	109	17	56	132	92.060606	22.19648	33	FR	11	19	25	29	35	39	47	71	73	81	83	NA	19-330-03007-GER2107007	50
100.5	109	12.5	61	132	95.6	20.026878	30	FR	7	13	19	21	25	37	47	53	65	77	79	NA	19-330-03007-GER2107007	60
104	109	9.5	66	132	98.035714	18.39783	28	FR	5	11	13	15	19	29	49	57	61	71	77	NA	19-330-03007-GER2107007	65
106	109	8.5	74	132	100.384615	16.88331	26	FR	7	7	9	13	17	23	53	53	63	65	65	NA	19-330-03007-GER2107007	70
107.5	109	7.5	75	132	102.583333	15.628616	24	FR	5	5	7	11	15	21	35	51	55	61	65	NA	19-330-03007-GER2107007	75
109	109	6	80	132	105	13.928388	22	FR	1	3	5	7	11	21	29	47	55	59	59	NA	19-330-03007-GER2107007	80
109	109	3	90	132	108.842105	10.579136	19	FR	1	1	3	7	7	15	21	29	47	47	47	NA	19-330-03007-GER2107007	85
109	109	3	90	132	108.842105	10.579136	19	FR	1	1	3	7	7	15	21	29	47	47	47	NA	19-330-03007-GER2107007	90
109	109	3	95	132	109.888889	9.821279	18	FR	1	1	3	7	7	11	15	25	47	47	47	NA	19-330-03007-GER2107007	95
26	26	2	19	60	27.143646	3.835699	182	FR	1	1	3	3	5	5	9	11	15	19	31	NA	22-024-02646-GER2213114	0
38	37	1	37	60	38.2	1.788854	6	FR	3	3	3	3	3	3	7	7	45	45	45	NA	22-024-02646-GER2213114	37
41	39	2	39	60	46.666667	11.590226	3	FR	1	1	1	5	5	5	39	39	39	39	39	NA	22-024-02646-GER2213114	38
50.5	41	9.5	41	60	50.5	13.435029	2	FR	19	19	19	19	19	21	21	21	21	21	21	NA	22-024-02646-GER2213114	40
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	22-024-02646-GER2213114	50
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	22-024-02646-GER2213114	60
26	26	2	19	145	26.657277	3.636405	431	FR	1	1	3	3	5	5	7	11	13	19	69	NA	20-346-03473-GER2107078	0
40	37	3	37	145	45.2	10.982815	12	FR	3	3	3	7	7	41	43	45	83	211	211	NA	20-346-03473-GER2107078	37
60	39	21	39	145	63	34.047761	9	FR	1	3	5	39	43	43	43	43	171	171	171	NA	20-346-03473-GER2107078	38
61.5	41	10.5	41	145	75	36.556805	6	FR	1	3	3	3	3	41	41	41	169	169	169	NA	20-346-03473-GER2107078	40
62	60	2	60	145	66	10.033278	5	FR	1	1	3	3	5	5	39	39	167	167	167	NA	20-346-03473-GER2107078	50
62	60	2	60	145	66	10.033278	5	FR	1	1	3	3	5	5	39	39	167	167	167	NA	20-346-03473-GER2107078	60
113	81	32	81	145	113	45.254834	2	FR	65	65	65	65	65	65	65	65	65	65	65	NA	20-346-03473-GER2107078	65
113	81	32	81	145	113	45.254834	2	FR	65	65	65	65	65	65	65	65	65	65	65	NA	20-346-03473-GER2107078	70
113	81	32	81	145	113	45.254834	2	FR	65	65	65	65	65	65	65	65	65	65	65	NA	20-346-03473-GER2107078	75
113	81	32	81	145	113	45.254834	2	FR	65	65	65	65	65	65	65	65	65	65	65	NA	20-346-03473-GER2107078	80
145	145	0	145	145	145	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-346-03473-GER2107078	85
145	145	0	145	145	145	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-346-03473-GER2107078	90
145	145	0	145	145	145	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-346-03473-GER2107078	95
26	26	2	20	60	26.804196	3.330368	287	FR	1	1	3	3	5	5	5	11	13	15	27	NA	18-323-04175-GER2213046	0
39	39	1	37	60	38.333333	1.154701	4	FR	1	1	1	1	1	5	5	43	43	43	43	NA	18-323-04175-GER2213046	37
39	39	0	39	60	39	0	3	FR	1	1	1	1	1	1	43	43	43	43	43	NA	18-323-04175-GER2213046	38
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-323-04175-GER2213046	40
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-323-04175-GER2213046	50
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-323-04175-GER2213046	60
26	26	2	19	136	26.471098	3.304021	355	FR	1	1	3	3	5	5	5	9	15	21	131	NA	20-211-03939-GER2107109	0
60	37	23	37	136	65.25	30.345785	16	FR	1	43	43	47	47	47	63	63	73	153	153	NA	20-211-03939-GER2107109	37
81	60	15	38	136	78.090909	28.300016	11	FR	13	21	21	23	31	43	43	85	87	111	111	NA	20-211-03939-GER2107109	38
91	60	10	60	136	86.888889	22.849751	9	FR	1	1	3	11	21	33	63	63	91	91	91	NA	20-211-03939-GER2107109	40
91	60	10	60	136	86.888889	22.849751	9	FR	1	1	3	11	21	33	63	63	91	91	91	NA	20-211-03939-GER2107109	50
91	60	10	60	136	86.888889	22.849751	9	FR	1	1	3	11	21	33	63	63	91	91	91	NA	20-211-03939-GER2107109	60
91	91	5	75	136	94.571429	19.654153	7	FR	1	1	3	3	11	21	21	33	91	91	91	NA	20-211-03939-GER2107109	65
91	91	5	75	136	94.571429	19.654153	7	FR	1	1	3	3	11	21	21	33	91	91	91	NA	20-211-03939-GER2107109	70
91	91	5	75	136	94.571429	19.654153	7	FR	1	1	3	3	11	21	21	33	91	91	91	NA	20-211-03939-GER2107109	75
91.5	91	2.5	81	136	90.2	5.540758	6	FR	1	1	1	3	3	11	21	21	91	91	91	NA	20-211-03939-GER2107109	80
92	91	1	91	136	92.5	2.380476	5	FR	1	1	3	3	3	3	9	9	89	89	89	NA	20-211-03939-GER2107109	85
92	91	1	91	136	92.5	2.380476	5	FR	1	1	3	3	3	3	9	9	89	89	89	NA	20-211-03939-GER2107109	90
116	96	20	96	136	116	28.284271	2	FR	41	41	41	41	41	41	41	41	41	41	41	NA	20-211-03939-GER2107109	95
63	26	35	19	5506	74.315924	53.002715	786	FR	13	31	51	61	71	75	79	89	171	203	405	NA	19-211-01298-GER2106850	0
90	93	27	37	5506	98.793037	50.030705	518	FR	9	19	31	43	55	67	83	103	133	261	385	NA	19-211-01298-GER2106850	37
91	93	28	38	5506	99.887795	49.784756	509	FR	7	19	29	41	57	67	81	101	131	259	383	NA	19-211-01298-GER2106850	38
91	93	27	40	5506	100.874	49.561788	501	FR	7	19	29	41	55	65	81	99	131	259	383	NA	19-211-01298-GER2106850	40
93	93	26	50	5506	104.690832	48.819574	470	FR	7	17	25	41	53	63	75	87	131	257	403	NA	19-211-01298-GER2106850	50
98	93	25	60	5506	111.609223	48.14329	413	FR	9	15	23	35	51	61	71	97	133	257	393	NA	19-211-01298-GER2106850	60
102	93	22	65	5506	115.22252	44.927436	376	FR	7	17	23	33	45	59	69	97	127	249	385	NA	19-211-01298-GER2106850	65
104	93	20	70	5506	118.683908	44.547848	351	FR	7	17	25	33	41	55	67	95	141	257	381	NA	19-211-01298-GER2106850	70
105	93	19	75	5506	122.775	44.15759	323	FR	7	15	25	31	39	47	61	97	141	275	379	NA	19-211-01298-GER2106850	75
108.5	93	18.5	80	5506	123.613115	41.975257	310	FR	9	19	27	33	37	49	59	91	135	275	373	NA	19-211-01298-GER2106850	80
110	93	19	85	5506	127.534722	44.034341	291	FR	13	19	25	35	39	47	63	89	133	271	469	NA	19-211-01298-GER2106850	85
118.5	93	24	90	5506	132.670412	47.685096	268	FR	13	27	31	39	47	53	59	75	117	257	453	NA	19-211-01298-GER2106850	90
128	104	24	95	5506	141.368182	48.267102	221	FR	11	21	37	47	49	53	59	67	187	243	433	NA	19-211-01298-GER2106850	95
26	26	2	19	156	26.507485	3.474249	675	FR	1	1	3	3	5	5	7	9	13	17	43	NA	20-210-02166-GER2110235	0
40	37	3	37	156	43.833333	8.304853	19	FR	1	3	5	5	7	7	27	37	37	233	233	NA	20-210-02166-GER2110235	37
41	38	3	38	156	45.785714	8.468753	15	FR	3	3	5	7	7	13	27	35	35	231	231	NA	20-210-02166-GER2110235	38
53.5	58	5.5	40	156	49.888889	7.959969	10	FR	1	3	11	11	11	13	25	27	27	207	207	NA	20-210-02166-GER2110235	40
58	58	2	53	156	56.2	2.48998	6	FR	1	1	1	1	1	9	11	11	197	197	197	NA	20-210-02166-GER2110235	50
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	60
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	65
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	70
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	75
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	80
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	85
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	90
156	156	0	156	156	156	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-210-02166-GER2110235	95
26	26	2	20	61	27.266254	3.531184	327	FR	1	1	3	3	5	5	5	11	15	19	69	NA	21-019-03709-GER2213081	0
39.5	38	1.5	37	61	38.625	1.06066	12	FR	1	3	3	3	3	5	43	43	45	45	45	NA	21-019-03709-GER2213081	37
40	38	2	38	61	43.555556	9.355628	11	FR	1	3	3	5	5	5	41	41	43	43	43	NA	21-019-03709-GER2213081	38
60	40	1	40	61	53.666667	10.595597	6	FR	1	1	1	3	3	3	41	41	41	41	41	NA	21-019-03709-GER2213081	40
60.5	60	0.5	60	61	60.5	0.57735	4	FR	1	1	1	1	1	3	3	3	3	3	3	NA	21-019-03709-GER2213081	50
60.5	60	0.5	60	61	60.5	0.57735	4	FR	1	1	1	1	1	3	3	3	3	3	3	NA	21-019-03709-GER2213081	60
92	119	31	20	5651	100.46147	52.789541	13557	FR	11	25	39	51	63	77	91	109	143	243	397	NA	20-107-01395-GER2106910	0
94	119	30	37	5651	102.992486	51.704946	13069	FR	11	25	37	49	61	75	89	105	141	243	397	NA	20-107-01395-GER2106910	37
94	119	30	38	5651	103.451015	51.589787	12979	FR	11	25	37	49	61	73	89	105	143	245	397	NA	20-107-01395-GER2106910	38
95	119	29	40	5651	104.60336	50.700181	12714	FR	11	23	35	49	59	73	87	103	143	245	401	NA	20-107-01395-GER2106910	40
100	119	27	50	5651	110.337947	49.26123	11598	FR	13	23	33	43	55	67	81	95	141	245	397	NA	20-107-01395-GER2106910	50
106	119	25	60	5651	116.386709	47.64856	10442	FR	11	23	31	41	51	63	75	89	147	241	389	NA	20-107-01395-GER2106910	60
109	119	24	65	5651	119.467229	47.134061	9885	FR	11	21	31	39	49	61	73	85	151	239	393	NA	20-107-01395-GER2106910	65
112	119	24	70	5651	122.636814	46.691811	9323	FR	11	19	29	39	49	59	71	83	157	237	391	NA	20-107-01395-GER2106910	70
115	119	23	75	5651	125.786889	45.819226	8747	FR	9	19	29	39	47	57	69	79	163	237	397	NA	20-107-01395-GER2106910	75
118	119	23	80	5651	128.969163	45.640961	8222	FR	7	17	27	37	47	57	67	77	165	237	405	NA	20-107-01395-GER2106910	80
120	119	22	85	5651	132.417184	44.954277	7634	FR	7	17	25	35	45	55	63	73	169	237	407	NA	20-107-01395-GER2106910	85
123	119	21	90	5651	136.065171	44.581723	7057	FR	9	15	25	33	43	53	61	75	177	233	411	NA	20-107-01395-GER2106910	90
126	119	20	95	5651	140.163066	43.691685	6413	FR	9	15	23	31	41	49	59	81	181	233	411	NA	20-107-01395-GER2106910	95
87	50	31	19	534	90.234146	44.468903	23980	FR	13	27	41	51	63	75	85	99	123	145	317	NA	20-358-02456-GER2110230	0
89	50	30	37	534	93.468985	43.322158	22759	FR	13	25	39	49	61	73	83	95	111	145	315	NA	20-358-02456-GER2110230	37
90	50	30	38	534	94.233881	43.109776	22455	FR	13	25	39	47	61	73	83	95	109	145	315	NA	20-358-02456-GER2110230	38
91	50	29	40	534	95.4073	42.74111	21987	FR	11	25	37	45	59	71	83	93	109	145	313	NA	20-358-02456-GER2110230	40
99	50	25	50	534	103.160097	40.24131	19023	FR	11	21	27	39	51	61	77	89	99	139	309	NA	20-358-02456-GER2110230	50
105	111	22	60	534	109.789281	37.519765	16701	FR	11	17	25	33	45	55	69	81	95	141	309	NA	20-358-02456-GER2110230	60
108	111	20	65	534	112.960118	36.142727	15621	FR	7	15	23	33	41	53	63	75	91	143	309	NA	20-358-02456-GER2110230	65
110	111	20	70	534	114.965536	35.615121	14964	FR	7	15	23	31	41	49	61	73	91	143	313	NA	20-358-02456-GER2110230	70
111	111	18	75	534	117.596748	34.271132	14029	FR	5	15	21	29	37	47	57	67	91	155	313	NA	20-358-02456-GER2110230	75
112	111	17	80	534	119.657206	33.21178	13267	FR	5	13	19	29	35	45	53	63	91	163	313	NA	20-358-02456-GER2110230	80
115	111	17	85	534	122.482419	32.837484	12372	FR	7	11	19	27	35	43	53	59	87	171	311	NA	20-358-02456-GER2110230	85
118	111	15	90	534	125.228485	31.140922	11307	FR	7	13	17	25	31	41	49	57	89	177	311	NA	20-358-02456-GER2110230	90
120	111	15	95	534	128.201963	30.994626	10412	FR	5	13	19	23	31	39	45	53	91	185	315	NA	20-358-02456-GER2110230	95
26	26	2	20	126	27.231746	3.622331	320	FR	1	1	3	3	5	5	7	11	15	19	71	NA	19-340-01676-GER2110353	0
39	37	2	37	126	40.111111	5.109903	13	FR	3	3	3	5	5	13	45	71	133	175	175	NA	19-340-01676-GER2110353	37
48.5	38	10.5	38	126	61.6	31.152671	10	FR	7	9	19	21	21	21	27	53	115	157	157	NA	19-340-01676-GER2110353	38
67.5	45	19	45	126	77.166667	31.933786	6	FR	13	15	15	31	31	45	77	77	119	119	119	NA	19-340-01676-GER2110353	40
74	52	22	52	126	83.6	31.05318	5	FR	1	1	27	27	45	45	63	63	105	105	105	NA	19-340-01676-GER2110353	50
89.5	61	22	61	126	91.5	29.490111	4	FR	31	31	33	33	33	57	57	75	75	75	75	NA	19-340-01676-GER2110353	60
105	74	21	74	126	101.666667	26.159766	3	FR	1	1	1	43	43	43	63	63	63	63	63	NA	19-340-01676-GER2110353	65
105	74	21	74	126	101.666667	26.159766	3	FR	1	1	1	43	43	43	63	63	63	63	63	NA	19-340-01676-GER2110353	70
115.5	105	10.5	105	126	115.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	19-340-01676-GER2110353	75
115.5	105	10.5	105	126	115.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	19-340-01676-GER2110353	80
115.5	105	10.5	105	126	115.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	19-340-01676-GER2110353	85
115.5	105	10.5	105	126	115.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	19-340-01676-GER2110353	90
115.5	105	10.5	105	126	115.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	19-340-01676-GER2110353	95
105	95	37	19	4427	115.849404	63.968971	134255	FR	15	29	43	57	75	91	107	127	171	289	489	NA	18-289-01058-GER2106729	0
106	95	36	37	4427	117.273133	63.260581	131816	FR	15	27	43	57	73	89	105	125	173	291	487	NA	18-289-01058-GER2106729	37
106	95	36	38	4427	117.766865	63.13983	131012	FR	15	27	41	55	73	89	105	125	175	293	487	NA	18-289-01058-GER2106729	38
107	95	36	40	4427	118.959647	62.871206	129081	FR	15	27	41	55	73	89	103	123	175	293	487	NA	18-289-01058-GER2106729	40
112	95	33	50	4427	124.354517	60.669994	119868	FR	13	27	39	53	67	83	99	115	181	293	487	NA	18-289-01058-GER2106729	50
117	95	32	60	4427	129.935611	59.27348	110827	FR	13	25	39	49	65	77	93	109	189	295	489	NA	18-289-01058-GER2106729	60
120	95	30	65	4427	132.950391	57.924535	105663	FR	13	25	37	51	61	75	89	105	193	295	491	NA	18-289-01058-GER2106729	65
122	95	29	70	4427	135.642218	57.140016	101321	FR	13	23	35	49	59	71	85	101	195	297	493	NA	18-289-01058-GER2106729	70
125	95	29	75	4427	139.136335	56.794676	96179	FR	13	23	35	47	59	69	83	97	197	297	497	NA	18-289-01058-GER2106729	75
128	95	28	80	4427	141.598869	56.082878	92252	FR	11	23	35	45	57	69	81	95	199	299	501	NA	18-289-01058-GER2106729	80
131	95	27	85	4427	145.002639	55.417094	87115	FR	13	23	33	43	55	67	77	91	203	299	505	NA	18-289-01058-GER2106729	85
133	95	26	90	4427	147.816205	54.687813	82801	FR	11	23	33	43	53	65	77	87	207	301	513	NA	18-289-01058-GER2106729	90
137	95	25	95	4427	151.754207	54.187663	77206	FR	11	23	31	41	51	63	75	85	205	301	521	NA	18-289-01058-GER2106729	95
91	95	30	19	670	98.247165999999993	51.420026	25554	FR	11	23	35	47	61	73	89	105	135	229	413	NA	18-330-01741-GER2106698	0
93	95	29	37	670	100.952578	50.127856	24530	FR	11	23	33	45	59	71	85	103	129	229	413	NA	18-330-01741-GER2106698	37
93	95	28	38	670	101.348497	49.62756	24328	FR	11	23	33	45	57	71	83	101	131	229	415	NA	18-330-01741-GER2106698	38
94	95	28	40	670	102.461771	49.38275	23910	FR	11	21	33	45	57	71	83	101	131	229	415	NA	18-330-01741-GER2106698	40
97	95	26	50	670	107.518216	47.492986	21923	FR	9	21	31	41	53	65	77	91	133	235	421	NA	18-330-01741-GER2106698	50
