chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count	SAMPLE_NAME
J04353.1	6530	6563	34	-	0.382353	15.470588	0.311357	0	0.322011	0	16	0.029412	16	19-330-03007-GER2107007
J04353.1	6929	6952	24	-	0.5	1	0.020126	0.020126	0.020126	1	1	0	1	19-330-03007-GER2107007
M12732.1	6570	6602	33	-	0.393939	9.575758	0.192719	0	0.201257	0	10	0.030303	10	19-330-03007-GER2107007
M12732.1	6965	6991	27	-	0.444444	18.037037	0.363008	0.161006	0.382389	8	19	0	19	19-330-03007-GER2107007
X74477.1	6567	6603	37	-	0.324324	1.621622	0.032636	0	0.040251	0	2	0.189189	2	19-330-03007-GER2107007
X74477.1	6969	6996	28	-	0.392857	1.928571	0.038814	0	0.040251	0	2	0.035714	2	19-330-03007-GER2107007
NC001526.4	252	286	35	-	0.371429	5.714286	0.115004	0.020126	0.120754	1	6	0	6	19-330-03007-GER2107007
NC001526.4	2525	2544	20	-	0.6	35.65	0.717482	0.080503	0.764777	4	38	0	38	19-330-03007-GER2107007
NC001526.4	2707	2733	27	-	0.481481	2.851852	0.057396	0.020126	0.060377	1	3	0	3	19-330-03007-GER2107007
NC001526.4	3006	3027	22	-	0.5	2.681818	0.053974	0.040251	0.060377	2	3	0	3	19-330-03007-GER2107007
NC001526.4	3054	3079	26	-	0.5	16.153846	0.325108	0.261634	0.342137	13	17	0	17	19-330-03007-GER2107007
NC001526.4	5742	5783	42	-	0.333333	7.857143	0.158131	0	0.201257	0	10	0.02381	10	19-330-03007-GER2107007
NC001526.4	5850	5906	57	-	0.350877	114.754386	2.309514	0.100629	2.938354	5	146	0	148	19-330-03007-GER2107007
NC001526.4	7178	7203	26	-	0.5	43.5	0.875469	0.060377	0.925783	3	46	0	47	19-330-03007-GER2107007
NC001526.4	7247	7275	29	-	0.482759	37.034483	0.745345	0.42264	0.784903	21	39	0	39	19-330-03007-GER2107007
NC001526.4	7557	7586	30	-	0.4	4.533333	0.091237	0.040251	0.100629	2	5	0	5	19-330-03007-GER2107007
NC001526.4	7614	7651	38	-	0.289474	37.842105	0.761599	0.14088	0.825154	7	41	0	41	19-330-03007-GER2107007
NC001526.4	7667	7700	34	-	0.382353	177.235294	3.566987	0	3.823886	0	190	0.029412	190	19-330-03007-GER2107007
NC001526.4	7738	7761	24	-	0.5	3.916667	0.078826	0.040251	0.080503	2	4	0	4	19-330-03007-GER2107007
NC001526.4	7778	7801	24	-	0.541667	3.125	0.062893	0.060377	0.080503	3	4	0	5	19-330-03007-GER2107007
NC001526.4	7838	7862	25	-	0.48	11.56	0.232653	0.080503	0.241509	4	12	0	12	19-330-03007-GER2107007
NC001357.1	161	190	30	-	0.433333	52.333333	1.053246	0	1.12704	0	56	0.033333	56	19-330-03007-GER2107007
