CHROMOSOME	LENGTH	ALIGNED_READS	SAMPLE_NAME
chr1	249250621	0	19-330-03007-GER2107007
chr2	243199373	0	19-330-03007-GER2107007
chr3	198022430	0	19-330-03007-GER2107007
chr4	191154276	0	19-330-03007-GER2107007
chr5	180915260	0	19-330-03007-GER2107007
chr6	171115067	0	19-330-03007-GER2107007
chr7	159138663	0	19-330-03007-GER2107007
chr8	146364022	0	19-330-03007-GER2107007
chr9	141213431	0	19-330-03007-GER2107007
chr10	135534747	0	19-330-03007-GER2107007
chr11	135006516	0	19-330-03007-GER2107007
chr12	133851895	0	19-330-03007-GER2107007
chr13	115169878	0	19-330-03007-GER2107007
chr14	107349540	0	19-330-03007-GER2107007
chr15	102531392	0	19-330-03007-GER2107007
chr16	90354753	0	19-330-03007-GER2107007
chr17	81195210	0	19-330-03007-GER2107007
chr18	78077248	0	19-330-03007-GER2107007
chr19	59128983	0	19-330-03007-GER2107007
chr20	63025520	0	19-330-03007-GER2107007
chr21	48129895	0	19-330-03007-GER2107007
chr22	51304566	0	19-330-03007-GER2107007
chrX	155270560	0	19-330-03007-GER2107007
chrY	59373566	0	19-330-03007-GER2107007
chrM	16571	0	19-330-03007-GER2107007
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	19-330-03007-GER2107007
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	19-330-03007-GER2107007
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	19-330-03007-GER2107007
J04353.1	7912	48	19-330-03007-GER2107007
M12732.1	7909	80	19-330-03007-GER2107007
X74477.1	7879	30	19-330-03007-GER2107007
NC001526.4	7906	813	19-330-03007-GER2107007
NC001357.1	7857	2555	19-330-03007-GER2107007
NoCoordinateCount= 0	NA	NA	19-330-03007-GER2107007
chr1	249250621	0	22-024-02646-GER2213114
chr2	243199373	0	22-024-02646-GER2213114
chr3	198022430	0	22-024-02646-GER2213114
chr4	191154276	0	22-024-02646-GER2213114
chr5	180915260	0	22-024-02646-GER2213114
chr6	171115067	0	22-024-02646-GER2213114
chr7	159138663	0	22-024-02646-GER2213114
chr8	146364022	0	22-024-02646-GER2213114
chr9	141213431	0	22-024-02646-GER2213114
chr10	135534747	0	22-024-02646-GER2213114
chr11	135006516	0	22-024-02646-GER2213114
chr12	133851895	0	22-024-02646-GER2213114
chr13	115169878	0	22-024-02646-GER2213114
chr14	107349540	0	22-024-02646-GER2213114
chr15	102531392	0	22-024-02646-GER2213114
chr16	90354753	0	22-024-02646-GER2213114
chr17	81195210	0	22-024-02646-GER2213114
chr18	78077248	0	22-024-02646-GER2213114
chr19	59128983	0	22-024-02646-GER2213114
chr20	63025520	0	22-024-02646-GER2213114
chr21	48129895	0	22-024-02646-GER2213114
chr22	51304566	0	22-024-02646-GER2213114
chrX	155270560	0	22-024-02646-GER2213114
chrY	59373566	0	22-024-02646-GER2213114
chrM	16571	0	22-024-02646-GER2213114
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	22-024-02646-GER2213114
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	22-024-02646-GER2213114
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	22-024-02646-GER2213114
J04353.1	7912	65	22-024-02646-GER2213114
M12732.1	7909	58	22-024-02646-GER2213114
X74477.1	7879	34	22-024-02646-GER2213114
NC001526.4	7906	648	22-024-02646-GER2213114
NC001357.1	7857	1280	22-024-02646-GER2213114
NoCoordinateCount= 0	NA	NA	22-024-02646-GER2213114
chr1	249250621	0	20-346-03473-GER2107078
chr2	243199373	0	20-346-03473-GER2107078
chr3	198022430	0	20-346-03473-GER2107078
chr4	191154276	0	20-346-03473-GER2107078
chr5	180915260	0	20-346-03473-GER2107078
chr6	171115067	0	20-346-03473-GER2107078
chr7	159138663	0	20-346-03473-GER2107078
chr8	146364022	0	20-346-03473-GER2107078
chr9	141213431	0	20-346-03473-GER2107078
chr10	135534747	0	20-346-03473-GER2107078
chr11	135006516	0	20-346-03473-GER2107078
chr12	133851895	0	20-346-03473-GER2107078
chr13	115169878	0	20-346-03473-GER2107078
chr14	107349540	0	20-346-03473-GER2107078
chr15	102531392	0	20-346-03473-GER2107078
chr16	90354753	0	20-346-03473-GER2107078
chr17	81195210	0	20-346-03473-GER2107078
chr18	78077248	0	20-346-03473-GER2107078
chr19	59128983	0	20-346-03473-GER2107078
chr20	63025520	0	20-346-03473-GER2107078
chr21	48129895	0	20-346-03473-GER2107078
chr22	51304566	0	20-346-03473-GER2107078
chrX	155270560	0	20-346-03473-GER2107078
chrY	59373566	0	20-346-03473-GER2107078
chrM	16571	0	20-346-03473-GER2107078
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-346-03473-GER2107078
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-346-03473-GER2107078
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-346-03473-GER2107078
J04353.1	7912	107	20-346-03473-GER2107078
M12732.1	7909	122	20-346-03473-GER2107078
X74477.1	7879	37	20-346-03473-GER2107078
NC001526.4	7906	1485	20-346-03473-GER2107078
NC001357.1	7857	2681	20-346-03473-GER2107078
NoCoordinateCount= 0	NA	NA	20-346-03473-GER2107078
chr1	249250621	0	18-323-04175-GER2213046
chr2	243199373	0	18-323-04175-GER2213046
chr3	198022430	0	18-323-04175-GER2213046
chr4	191154276	0	18-323-04175-GER2213046
chr5	180915260	0	18-323-04175-GER2213046
chr6	171115067	0	18-323-04175-GER2213046
chr7	159138663	0	18-323-04175-GER2213046
chr8	146364022	0	18-323-04175-GER2213046
chr9	141213431	0	18-323-04175-GER2213046
chr10	135534747	0	18-323-04175-GER2213046
chr11	135006516	0	18-323-04175-GER2213046
chr12	133851895	0	18-323-04175-GER2213046
chr13	115169878	0	18-323-04175-GER2213046
chr14	107349540	0	18-323-04175-GER2213046
chr15	102531392	0	18-323-04175-GER2213046
chr16	90354753	0	18-323-04175-GER2213046
chr17	81195210	0	18-323-04175-GER2213046
chr18	78077248	0	18-323-04175-GER2213046
chr19	59128983	0	18-323-04175-GER2213046
chr20	63025520	0	18-323-04175-GER2213046
chr21	48129895	0	18-323-04175-GER2213046
chr22	51304566	0	18-323-04175-GER2213046
chrX	155270560	0	18-323-04175-GER2213046
chrY	59373566	0	18-323-04175-GER2213046
chrM	16571	0	18-323-04175-GER2213046
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	18-323-04175-GER2213046
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	18-323-04175-GER2213046
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	18-323-04175-GER2213046
J04353.1	7912	70	18-323-04175-GER2213046
M12732.1	7909	72	18-323-04175-GER2213046
X74477.1	7879	30	18-323-04175-GER2213046
NC001526.4	7906	761	18-323-04175-GER2213046
NC001357.1	7857	2079	18-323-04175-GER2213046
NoCoordinateCount= 0	NA	NA	18-323-04175-GER2213046
chr1	249250621	0	20-211-03939-GER2107109
chr2	243199373	0	20-211-03939-GER2107109
chr3	198022430	0	20-211-03939-GER2107109
chr4	191154276	0	20-211-03939-GER2107109
chr5	180915260	0	20-211-03939-GER2107109
chr6	171115067	0	20-211-03939-GER2107109
chr7	159138663	0	20-211-03939-GER2107109
chr8	146364022	0	20-211-03939-GER2107109
chr9	141213431	0	20-211-03939-GER2107109
chr10	135534747	0	20-211-03939-GER2107109
chr11	135006516	0	20-211-03939-GER2107109
chr12	133851895	0	20-211-03939-GER2107109
chr13	115169878	0	20-211-03939-GER2107109
chr14	107349540	0	20-211-03939-GER2107109
chr15	102531392	0	20-211-03939-GER2107109
chr16	90354753	0	20-211-03939-GER2107109
chr17	81195210	0	20-211-03939-GER2107109
chr18	78077248	0	20-211-03939-GER2107109
chr19	59128983	0	20-211-03939-GER2107109
chr20	63025520	0	20-211-03939-GER2107109
chr21	48129895	0	20-211-03939-GER2107109
chr22	51304566	0	20-211-03939-GER2107109
chrX	155270560	0	20-211-03939-GER2107109
chrY	59373566	0	20-211-03939-GER2107109
chrM	16571	0	20-211-03939-GER2107109
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-211-03939-GER2107109
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-211-03939-GER2107109
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-211-03939-GER2107109
J04353.1	7912	93	20-211-03939-GER2107109
M12732.1	7909	91	20-211-03939-GER2107109
X74477.1	7879	61	20-211-03939-GER2107109
NC001526.4	7906	4867	20-211-03939-GER2107109
NC001357.1	7857	2242	20-211-03939-GER2107109
NoCoordinateCount= 0	NA	NA	20-211-03939-GER2107109
chr1	249250621	0	19-211-01298-GER2106850
chr2	243199373	0	19-211-01298-GER2106850
chr3	198022430	0	19-211-01298-GER2106850
chr4	191154276	0	19-211-01298-GER2106850
chr5	180915260	0	19-211-01298-GER2106850
chr6	171115067	0	19-211-01298-GER2106850
chr7	159138663	0	19-211-01298-GER2106850
chr8	146364022	0	19-211-01298-GER2106850
chr9	141213431	0	19-211-01298-GER2106850
chr10	135534747	0	19-211-01298-GER2106850
chr11	135006516	0	19-211-01298-GER2106850
chr12	133851895	0	19-211-01298-GER2106850
chr13	115169878	0	19-211-01298-GER2106850
chr14	107349540	0	19-211-01298-GER2106850
chr15	102531392	0	19-211-01298-GER2106850
chr16	90354753	0	19-211-01298-GER2106850
chr17	81195210	0	19-211-01298-GER2106850
chr18	78077248	0	19-211-01298-GER2106850
chr19	59128983	0	19-211-01298-GER2106850
chr20	63025520	0	19-211-01298-GER2106850
chr21	48129895	0	19-211-01298-GER2106850
chr22	51304566	0	19-211-01298-GER2106850
chrX	155270560	0	19-211-01298-GER2106850
chrY	59373566	0	19-211-01298-GER2106850
chrM	16571	0	19-211-01298-GER2106850
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	19-211-01298-GER2106850
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	19-211-01298-GER2106850
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	19-211-01298-GER2106850
J04353.1	7912	117	19-211-01298-GER2106850
M12732.1	7909	139	19-211-01298-GER2106850
X74477.1	7879	24	19-211-01298-GER2106850
NC001526.4	7906	2295	19-211-01298-GER2106850
NC001357.1	7857	1317	19-211-01298-GER2106850
NoCoordinateCount= 0	NA	NA	19-211-01298-GER2106850
chr1	249250621	0	20-210-02166-GER2110235
chr2	243199373	0	20-210-02166-GER2110235
chr3	198022430	0	20-210-02166-GER2110235
chr4	191154276	0	20-210-02166-GER2110235
chr5	180915260	0	20-210-02166-GER2110235
chr6	171115067	0	20-210-02166-GER2110235
chr7	159138663	0	20-210-02166-GER2110235
chr8	146364022	0	20-210-02166-GER2110235
chr9	141213431	0	20-210-02166-GER2110235
chr10	135534747	0	20-210-02166-GER2110235
chr11	135006516	0	20-210-02166-GER2110235
chr12	133851895	0	20-210-02166-GER2110235
chr13	115169878	0	20-210-02166-GER2110235
chr14	107349540	0	20-210-02166-GER2110235
chr15	102531392	0	20-210-02166-GER2110235
chr16	90354753	0	20-210-02166-GER2110235
chr17	81195210	0	20-210-02166-GER2110235
chr18	78077248	0	20-210-02166-GER2110235
chr19	59128983	0	20-210-02166-GER2110235
chr20	63025520	0	20-210-02166-GER2110235
chr21	48129895	0	20-210-02166-GER2110235
chr22	51304566	0	20-210-02166-GER2110235
chrX	155270560	0	20-210-02166-GER2110235
chrY	59373566	0	20-210-02166-GER2110235
chrM	16571	0	20-210-02166-GER2110235
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-210-02166-GER2110235
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-210-02166-GER2110235
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-210-02166-GER2110235
J04353.1	7912	134	20-210-02166-GER2110235
M12732.1	7909	159	20-210-02166-GER2110235
X74477.1	7879	71	20-210-02166-GER2110235
NC001526.4	7906	1899	20-210-02166-GER2110235
NC001357.1	7857	4137	20-210-02166-GER2110235
NoCoordinateCount= 0	NA	NA	20-210-02166-GER2110235
chr1	249250621	0	21-019-03709-GER2213081
chr2	243199373	0	21-019-03709-GER2213081
chr3	198022430	0	21-019-03709-GER2213081
chr4	191154276	0	21-019-03709-GER2213081
chr5	180915260	0	21-019-03709-GER2213081
chr6	171115067	0	21-019-03709-GER2213081
chr7	159138663	0	21-019-03709-GER2213081
chr8	146364022	0	21-019-03709-GER2213081
chr9	141213431	0	21-019-03709-GER2213081
chr10	135534747	0	21-019-03709-GER2213081
chr11	135006516	0	21-019-03709-GER2213081
chr12	133851895	0	21-019-03709-GER2213081
chr13	115169878	0	21-019-03709-GER2213081
chr14	107349540	0	21-019-03709-GER2213081
chr15	102531392	0	21-019-03709-GER2213081
chr16	90354753	0	21-019-03709-GER2213081
chr17	81195210	0	21-019-03709-GER2213081
chr18	78077248	0	21-019-03709-GER2213081
chr19	59128983	0	21-019-03709-GER2213081
chr20	63025520	0	21-019-03709-GER2213081
chr21	48129895	0	21-019-03709-GER2213081
chr22	51304566	0	21-019-03709-GER2213081
chrX	155270560	0	21-019-03709-GER2213081
chrY	59373566	0	21-019-03709-GER2213081
chrM	16571	0	21-019-03709-GER2213081
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	21-019-03709-GER2213081
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	21-019-03709-GER2213081
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	21-019-03709-GER2213081
J04353.1	7912	65	21-019-03709-GER2213081
M12732.1	7909	103	21-019-03709-GER2213081
X74477.1	7879	22	21-019-03709-GER2213081
NC001526.4	7906	1111	21-019-03709-GER2213081
NC001357.1	7857	2600	21-019-03709-GER2213081
NoCoordinateCount= 0	NA	NA	21-019-03709-GER2213081
chr1	249250621	0	20-107-01395-GER2106910
chr2	243199373	0	20-107-01395-GER2106910
chr3	198022430	0	20-107-01395-GER2106910
chr4	191154276	0	20-107-01395-GER2106910
chr5	180915260	0	20-107-01395-GER2106910
chr6	171115067	0	20-107-01395-GER2106910
chr7	159138663	0	20-107-01395-GER2106910
chr8	146364022	0	20-107-01395-GER2106910
chr9	141213431	0	20-107-01395-GER2106910
chr10	135534747	0	20-107-01395-GER2106910
chr11	135006516	0	20-107-01395-GER2106910
chr12	133851895	0	20-107-01395-GER2106910
chr13	115169878	0	20-107-01395-GER2106910
chr14	107349540	0	20-107-01395-GER2106910
